customer_id,first_name,last_name,email,phone,date_of_birth,ssn_last_four,street,city,state,zip
CUST000001,Denise,Walker,jpeterson@gmail.com,311-661-5594x07816,2020-09-05,2824,310 Kendra Common Apt. 164,"Reidstad, GA",49,49021
CUST000002,Katherine,Rodriguez,jenniferross@hotmail.com,587.213.3150x983,1985-01-10,9346,10518 Joshua Oval,"New David, FM",75,75348
CUST000003,Shirley,Suarez,james48@yahoo.com,4169400524,1938-10-09,1888,011 Amy Village Suite 982,"Andersonport, MN",05,05730
CUST000004,Colleen,Brock,jrivas@yahoo.com,001-577-643-4873x4714,2013-09-19,3538,23623 Robert Isle,"Perryborough, MP",55,55570
CUST000005,Tracie,Nelson,angela83@gmail.com,(778)937-7701x43634,1937-08-22,4396,8557 Parker Fort Apt. 351,"East Javier, NJ",36,36742
CUST000006,Linda,Holloway,barbara27@hotmail.com,429-767-1756x551,1985-03-20,2578,6807 Leonard Islands Apt. 680,"Gutierrezborough, NC",47,47920
CUST000007,Jordan,Hoover,mcantu@hotmail.com,(736)305-7662x7028,1937-05-05,9300,87026 Charles Tunnel Suite 596,"Port Markside, MS",42,42006
CUST000008,Jacob,Ramos,brendali@gmail.com,(390)242-2842,1947-10-03,2274,95024 David Manor Apt. 177,"Williamville, NV",66,66540
CUST000009,Brian,Bruce,ashleymorales@gmail.com,7186366752,1995-08-06,6031,22901 Ramos Manors,"Lawsonchester, KY",28,28756
CUST000010,Rhonda,Pearson,wagnergerald@gmail.com,288.792.5546x659,1991-09-23,5633,644 Mathew Prairie,"West Kyle, SD",92,92052
CUST000011,Aaron,Miller,david36@hotmail.com,811.279.8089x324,2001-09-25,9071,621 Jones Pine,"South Morganton, SC",51,51210
CUST000012,Travis,Johnson,hmcintyre@yahoo.com,001-973-394-7312x172,1999-07-16,8515,518 Vance Vista Apt. 258,"North Tracie, WY",18,18703
CUST000013,Teresa,Jacobson,megan90@gmail.com,+1-594-839-6907x8447,1919-01-24,9631,027 Washington Ford,"Catherinemouth, VI",94,94658
CUST000014,Jordan,Hicks,silvageorge@hotmail.com,001-562-830-9130x75626,1993-04-19,6152,028 Ann Shore Suite 865,"South Rhonda, MA",72,72102
CUST000015,Lindsey,Hebert,krystal93@gmail.com,+1-266-685-1612x2753,1980-07-06,1557,5499 Jose Lake Apt. 017,"Erikhaven, MH",92,92717
CUST000016,Willie,Long,johnsondonna@hotmail.com,2335119079,1998-07-03,1898,3830 William Highway Apt. 959,"Joelberg, TN",68,68822
CUST000017,Dawn,Rivera,susan03@gmail.com,673-893-6385,2021-03-30,7580,4587 Garcia Stravenue Suite 535,"Robertshire, VI",29,29503
CUST000018,James,Watson,walshjacqueline@gmail.com,(259)418-0339x74014,1967-08-17,4781,USNV Smith,FPO AE,77,77444
CUST000019,Luke,Yates,lopezshane@hotmail.com,801-258-1995,1969-01-31,5919,83982 Jackson Grove Suite 472,"East Ryanchester, ME",63,63970
CUST000020,Heather,Woodard,seanmyers@hotmail.com,925.507.1461x12545,1977-12-01,5033,1775 Kevin Valleys Apt. 051,"Lake John, HI",72,72840
CUST000021,Kimberly,Ellison,kjackson@gmail.com,940.343.8427,2001-12-18,4431,580 Payne Manors Apt. 340,"Bakerland, NV",15,15887
CUST000022,Judy,Beck,braunronald@hotmail.com,+1-542-841-5415x2064,2015-02-18,6554,37129 April Mills,"North Heatherville, VI",55,55854
CUST000023,Tiffany,Townsend,terrimoore@yahoo.com,+1-214-663-0316x1799,1954-12-19,9474,02027 Mills Tunnel,"Garyberg, WA",35,35728
CUST000024,Kathy,Walsh,martinsteven@yahoo.com,(537)747-4112x490,1923-08-25,4393,6804 Wilkins Extensions,"South Melissaside, WA",72,72606
CUST000025,Mary,Adams,gregory01@gmail.com,708.470.5932,1936-08-17,8899,"PSC 5002, Box 9218",APO AA,10,10007
CUST000026,Tracey,Underwood,egarcia@hotmail.com,+1-832-471-0405x41152,1985-02-25,9788,9970 Dunlap Expressway,"Mooreville, MA",27,27442
CUST000027,Julie,Perez,shawrachel@hotmail.com,+1-821-572-2332x061,1988-03-27,5683,Unit 2945 Box 1168,DPO AA,72,72859
CUST000028,Matthew,Armstrong,kevinmanning@yahoo.com,(691)837-3678x50821,1940-11-23,9119,33030 Williams Lake,"West Micheal, NH",66,66708
CUST000029,Yolanda,Green,jessica82@hotmail.com,+1-313-953-4655x4947,2013-12-29,7859,3816 Gutierrez Ways,"East Victoria, MA",54,54134
CUST000030,Brandon,Hunt,rfriedman@hotmail.com,421-366-7467x62120,1920-06-04,4242,729 Maxwell Ridge Apt. 277,"South Scottland, KS",86,86349
CUST000031,Amanda,Dunn,jennifer11@hotmail.com,554-588-5102x72614,1935-05-14,5466,73516 Sara Villages Apt. 779,"South Adam, WA",06,06867
CUST000032,Lori,Roberts,gonzalezkaren@gmail.com,+1-842-504-3805x71983,2023-09-25,2058,066 Frye Spur Suite 800,"Jamesmouth, MP",30,30064
