customer_id,question,answer_hash
CUST000001,What was your first pet's name?,hashed_answer_1
CUST000001,What street did you grow up on?,hashed_answer_2
CUST000002,What was your first pet's name?,hashed_answer_1
CUST000002,What street did you grow up on?,hashed_answer_2
CUST000003,What was your first pet's name?,hashed_answer_1
CUST000003,What street did you grow up on?,hashed_answer_2
CUST000004,What was your first pet's name?,hashed_answer_1
CUST000004,What street did you grow up on?,hashed_answer_2
CUST000005,What was your first pet's name?,hashed_answer_1
CUST000005,What street did you grow up on?,hashed_answer_2
CUST000006,What was your first pet's name?,hashed_answer_1
CUST000006,What street did you grow up on?,hashed_answer_2
CUST000007,What was your first pet's name?,hashed_answer_1
CUST000007,What street did you grow up on?,hashed_answer_2
CUST000008,What was your first pet's name?,hashed_answer_1
CUST000008,What street did you grow up on?,hashed_answer_2
CUST000009,What was your first pet's name?,hashed_answer_1
CUST000009,What street did you grow up on?,hashed_answer_2
CUST000010,What was your first pet's name?,hashed_answer_1
CUST000010,What street did you grow up on?,hashed_answer_2
CUST000011,What was your first pet's name?,hashed_answer_1
CUST000011,What street did you grow up on?,hashed_answer_2
CUST000012,What was your first pet's name?,hashed_answer_1
CUST000012,What street did you grow up on?,hashed_answer_2
CUST000013,What was your first pet's name?,hashed_answer_1
CUST000013,What street did you grow up on?,hashed_answer_2
CUST000014,What was your first pet's name?,hashed_answer_1
CUST000014,What street did you grow up on?,hashed_answer_2
CUST000015,What was your first pet's name?,hashed_answer_1
CUST000015,What street did you grow up on?,hashed_answer_2
CUST000016,What was your first pet's name?,hashed_answer_1
CUST000016,What street did you grow up on?,hashed_answer_2
CUST000017,What was your first pet's name?,hashed_answer_1
CUST000017,What street did you grow up on?,hashed_answer_2
CUST000018,What was your first pet's name?,hashed_answer_1
CUST000018,What street did you grow up on?,hashed_answer_2
CUST000019,What was your first pet's name?,hashed_answer_1
CUST000019,What street did you grow up on?,hashed_answer_2
CUST000020,What was your first pet's name?,hashed_answer_1
CUST000020,What street did you grow up on?,hashed_answer_2
CUST000021,What was your first pet's name?,hashed_answer_1
CUST000021,What street did you grow up on?,hashed_answer_2
CUST000022,What was your first pet's name?,hashed_answer_1
CUST000022,What street did you grow up on?,hashed_answer_2
CUST000023,What was your first pet's name?,hashed_answer_1
CUST000023,What street did you grow up on?,hashed_answer_2
CUST000024,What was your first pet's name?,hashed_answer_1
CUST000024,What street did you grow up on?,hashed_answer_2
CUST000025,What was your first pet's name?,hashed_answer_1
CUST000025,What street did you grow up on?,hashed_answer_2
CUST000026,What was your first pet's name?,hashed_answer_1
CUST000026,What street did you grow up on?,hashed_answer_2
CUST000027,What was your first pet's name?,hashed_answer_1
CUST000027,What street did you grow up on?,hashed_answer_2
CUST000028,What was your first pet's name?,hashed_answer_1
CUST000028,What street did you grow up on?,hashed_answer_2
CUST000029,What was your first pet's name?,hashed_answer_1
CUST000029,What street did you grow up on?,hashed_answer_2
CUST000030,What was your first pet's name?,hashed_answer_1
CUST000030,What street did you grow up on?,hashed_answer_2
CUST000031,What was your first pet's name?,hashed_answer_1
CUST000031,What street did you grow up on?,hashed_answer_2
CUST000032,What was your first pet's name?,hashed_answer_1
CUST000032,What street did you grow up on?,hashed_answer_2
CUST000033,What was your first pet's name?,hashed_answer_1
CUST000033,What street did you grow up on?,hashed_answer_2
CUST000034,What was your first pet's name?,hashed_answer_1
CUST000034,What street did you grow up on?,hashed_answer_2
CUST000035,What was your first pet's name?,hashed_answer_1
CUST000035,What street did you grow up on?,hashed_answer_2
CUST000036,What was your first pet's name?,hashed_answer_1
CUST000036,What street did you grow up on?,hashed_answer_2
CUST000037,What was your first pet's name?,hashed_answer_1
CUST000037,What street did you grow up on?,hashed_answer_2
CUST000038,What was your first pet's name?,hashed_answer_1
CUST000038,What street did you grow up on?,hashed_answer_2
CUST000039,What was your first pet's name?,hashed_answer_1
CUST000039,What street did you grow up on?,hashed_answer_2
CUST000040,What was your first pet's name?,hashed_answer_1
CUST000040,What street did you grow up on?,hashed_answer_2
CUST000041,What was your first pet's name?,hashed_answer_1
CUST000041,What street did you grow up on?,hashed_answer_2
CUST000042,What was your first pet's name?,hashed_answer_1
CUST000042,What street did you grow up on?,hashed_answer_2
CUST000043,What was your first pet's name?,hashed_answer_1
CUST000043,What street did you grow up on?,hashed_answer_2
CUST000044,What was your first pet's name?,hashed_answer_1
CUST000044,What street did you grow up on?,hashed_answer_2
CUST000045,What was your first pet's name?,hashed_answer_1
CUST000045,What street did you grow up on?,hashed_answer_2
CUST000046,What was your first pet's name?,hashed_answer_1
CUST000046,What street did you grow up on?,hashed_answer_2
CUST000047,What was your first pet's name?,hashed_answer_1
CUST000047,What street did you grow up on?,hashed_answer_2
CUST000048,What was your first pet's name?,hashed_answer_1
CUST000048,What street did you grow up on?,hashed_answer_2
CUST000049,What was your first pet's name?,hashed_answer_1
CUST000049,What street did you grow up on?,hashed_answer_2
CUST000050,What was your first pet's name?,hashed_answer_1
CUST000050,What street did you grow up on?,hashed_answer_2
CUST000051,What was your first pet's name?,hashed_answer_1
CUST000051,What street did you grow up on?,hashed_answer_2
CUST000052,What was your first pet's name?,hashed_answer_1
CUST000052,What street did you grow up on?,hashed_answer_2
CUST000053,What was your first pet's name?,hashed_answer_1
CUST000053,What street did you grow up on?,hashed_answer_2
CUST000054,What was your first pet's name?,hashed_answer_1
CUST000054,What street did you grow up on?,hashed_answer_2
CUST000055,What was your first pet's name?,hashed_answer_1
CUST000055,What street did you grow up on?,hashed_answer_2
CUST000056,What was your first pet's name?,hashed_answer_1
CUST000056,What street did you grow up on?,hashed_answer_2
CUST000057,What was your first pet's name?,hashed_answer_1
CUST000057,What street did you grow up on?,hashed_answer_2
CUST000058,What was your first pet's name?,hashed_answer_1
CUST000058,What street did you grow up on?,hashed_answer_2
CUST000059,What was your first pet's name?,hashed_answer_1
CUST000059,What street did you grow up on?,hashed_answer_2
CUST000060,What was your first pet's name?,hashed_answer_1
CUST000060,What street did you grow up on?,hashed_answer_2
CUST000061,What was your first pet's name?,hashed_answer_1
CUST000061,What street did you grow up on?,hashed_answer_2
CUST000062,What was your first pet's name?,hashed_answer_1
CUST000062,What street did you grow up on?,hashed_answer_2
CUST000063,What was your first pet's name?,hashed_answer_1
CUST000063,What street did you grow up on?,hashed_answer_2
CUST000064,What was your first pet's name?,hashed_answer_1
CUST000064,What street did you grow up on?,hashed_answer_2
CUST000065,What was your first pet's name?,hashed_answer_1
CUST000065,What street did you grow up on?,hashed_answer_2
CUST000066,What was your first pet's name?,hashed_answer_1
CUST000066,What street did you grow up on?,hashed_answer_2
CUST000067,What was your first pet's name?,hashed_answer_1
CUST000067,What street did you grow up on?,hashed_answer_2
CUST000068,What was your first pet's name?,hashed_answer_1
CUST000068,What street did you grow up on?,hashed_answer_2
CUST000069,What was your first pet's name?,hashed_answer_1
CUST000069,What street did you grow up on?,hashed_answer_2
CUST000070,What was your first pet's name?,hashed_answer_1
CUST000070,What street did you grow up on?,hashed_answer_2
CUST000071,What was your first pet's name?,hashed_answer_1
CUST000071,What street did you grow up on?,hashed_answer_2
CUST000072,What was your first pet's name?,hashed_answer_1
CUST000072,What street did you grow up on?,hashed_answer_2
CUST000073,What was your first pet's name?,hashed_answer_1
CUST000073,What street did you grow up on?,hashed_answer_2
CUST000074,What was your first pet's name?,hashed_answer_1
CUST000074,What street did you grow up on?,hashed_answer_2
CUST000075,What was your first pet's name?,hashed_answer_1
CUST000075,What street did you grow up on?,hashed_answer_2
CUST000076,What was your first pet's name?,hashed_answer_1
CUST000076,What street did you grow up on?,hashed_answer_2
CUST000077,What was your first pet's name?,hashed_answer_1
CUST000077,What street did you grow up on?,hashed_answer_2
CUST000078,What was your first pet's name?,hashed_answer_1
CUST000078,What street did you grow up on?,hashed_answer_2
CUST000079,What was your first pet's name?,hashed_answer_1
CUST000079,What street did you grow up on?,hashed_answer_2
CUST000080,What was your first pet's name?,hashed_answer_1
CUST000080,What street did you grow up on?,hashed_answer_2
CUST000081,What was your first pet's name?,hashed_answer_1
CUST000081,What street did you grow up on?,hashed_answer_2
CUST000082,What was your first pet's name?,hashed_answer_1
CUST000082,What street did you grow up on?,hashed_answer_2
CUST000083,What was your first pet's name?,hashed_answer_1
CUST000083,What street did you grow up on?,hashed_answer_2
CUST000084,What was your first pet's name?,hashed_answer_1
CUST000084,What street did you grow up on?,hashed_answer_2
CUST000085,What was your first pet's name?,hashed_answer_1
CUST000085,What street did you grow up on?,hashed_answer_2
CUST000086,What was your first pet's name?,hashed_answer_1
CUST000086,What street did you grow up on?,hashed_answer_2
CUST000087,What was your first pet's name?,hashed_answer_1
CUST000087,What street did you grow up on?,hashed_answer_2
